,Neg1rep1,VK1rep1,VK3rep1,VK5rep1,unenriched1,unenriched2,unenriched3
9542340,4,2,2,2,3,4,5
9565915,10,7,4,0,0,0,0
9598464,0,3,6,0,6,6,7
9607764,0,5,6,4,2,3,4
9628878,4,2,2,2,3,4,5
9628897,0,3,1,2,4,3,5
9670834,0,4,4,3,5,5,4
9700083,4,2,2,2,3,4,5
9714941,10,7,4,0,0,0,0
9721651,4,16,8,12,8,15,12
9722953,4,3,4,4,3,4,5
9740705,6,32,29,28,39,40,39
9760084,3,8,7,8,0,0,0
9919199,4,2,2,2,3,4,5
9970167,4,2,2,2,3,4,5
9970283,0,10,0,0,119,44,118
9970509,7,12,13,10,23,15,20
9972166,0,6,0,4,0,0,0
9972559,0,0,0,3,20,13,17
9972635,0,0,0,0,4,2,6
9978493,0,3,0,6,12,8,9
10030907,0,16,13,17,18,14,22
10053077,3,12,7,3,14,14,18
10072239,7,33,22,36,25,24,18
10082440,0,5,5,8,6,5,8
10096928,6,24,21,27,21,26,22
10109279,0,0,0,0,4,7,8
10109692,0,9,4,4,0,0,2
10132141,0,10,9,0,0,0,0
10160576,4,8,0,0,0,0,0
10185112,12,32,33,22,0,0,0
10222240,0,6,2,1,2,5,1
10233795,4,8,7,6,10,11,19
10235090,2,6,6,3,10,9,8
10235503,0,10,5,0,0,0,0
10252913,0,4,2,6,4,5,4
10277170,0,0,0,0,6,11,10
10284081,0,3,1,2,4,3,5
10296556,2,4,5,1,8,5,6
10296910,4,2,2,2,3,4,5
10313586,0,9,8,4,5,0,4
10318877,0,8,3,8,0,2,3
10322878,10,48,33,37,53,47,51
10323127,0,5,4,7,7,4,9
10323374,0,33,23,16,3,3,3
10323684,0,7,9,8,7,13,7
10323867,4,39,33,32,39,37,47
10323932,0,4,3,0,7,11,9
10324780,0,0,0,0,5,0,4
10324837,3,4,10,5,4,6,4
10325061,0,8,6,0,6,10,8
10325180,6,11,14,6,10,6,5
10333534,0,7,4,1,6,5,3
10338470,3,8,7,3,44,25,31
10339168,39,248,264,220,362,347,330
10365075,0,5,1,0,9,0,5
10365827,0,4,4,1,4,0,4
10375436,0,6,7,7,2,0,2
10377502,0,8,6,9,10,11,8
10380653,0,1,7,4,6,6,10
10386191,0,4,6,2,2,5,4
10418709,1,8,8,6,13,15,14
10423526,3,14,11,8,33,19,31
10438617,4,3,4,4,3,4,5
10439591,3,7,9,4,15,8,13
10446165,8,30,18,23,22,26,19
10448361,0,3,6,0,6,6,7
10464415,0,5,1,4,0,2,2
10480088,4,3,6,4,3,4,5
10481027,8,6,5,4,0,0,0
10511979,3,9,9,6,18,11,17
10515859,0,23,25,20,22,17,15
10517020,0,6,5,4,0,0,0
10517682,0,2,0,0,7,8,9
10520505,3,5,6,8,8,6,8
10521413,0,7,0,7,3,3,3
10522610,11,43,38,37,16,12,20
10522864,7,0,0,0,20,17,20
10523573,0,31,31,24,15,17,15
10523776,81,131,134,94,341,344,347
10530122,0,0,0,2,8,10,10
10531013,2,4,4,1,9,5,7
10531299,0,2,1,2,4,4,4
10565150,4,2,2,2,3,4,5
10591432,4,2,2,2,3,4,5
10593880,0,4,5,4,2,3,4
10594358,0,4,4,3,5,5,4
10621866,0,0,5,7,0,0,0
10630096,2,4,5,1,8,5,6
10631067,0,6,2,1,11,0,11
10631315,5,5,5,3,3,3,4
10632090,0,0,4,4,0,0,0
10633605,0,9,17,4,0,0,0
10657141,3,8,7,8,0,0,0
10658225,0,5,7,9,2,2,0
10659301,0,4,4,4,11,9,9
10686622,3,10,6,1,8,7,8
10687793,0,2,1,2,4,4,4
10687913,0,6,6,6,4,4,4
10689069,4,6,4,3,18,24,20
10689110,29,63,61,62,52,55,49
10695325,8,39,26,42,38,37,33
10697047,3,5,4,6,0,0,0
10699458,0,4,4,4,5,4,4
10699808,0,0,6,0,4,0,6
10700171,4,2,2,2,3,4,5
10711259,0,17,23,1,2,9,22
10712375,0,4,4,6,5,4,8
10714925,6,25,15,20,16,17,17
10731154,0,4,7,9,4,9,0
10732995,0,4,2,6,4,5,4
10738405,2,6,6,7,8,6,6
10739053,0,17,23,16,23,12,18
10739329,0,0,0,7,6,3,0
10739365,0,41,21,35,43,42,50
10739366,0,17,13,11,13,7,10
10739610,0,9,8,0,8,7,5
10741754,4,2,2,2,3,4,5
10741957,5,13,18,22,26,24,23
10757891,3,11,12,11,22,23,16
10759453,0,0,0,0,5,4,4
10774345,0,8,6,9,9,8,8
10791111,0,9,16,12,12,11,9
10795597,0,15,10,17,6,6,7
10795833,0,0,0,0,6,8,5
10796453,0,11,17,18,1,6,4
10796540,0,10,4,6,0,4,0
