"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"9970167",0,0,0,3,4,5
"9970283",10,0,0,119,44,118
"9970509",5,6,3,23,15,20
"9972166",6,0,4,0,0,0
"9972559",0,0,3,20,13,17
"9972635",0,0,0,4,2,6
"9978493",3,0,6,12,8,9
"10030907",16,13,17,18,14,22
"10053077",9,4,0,14,14,18
"10072239",26,15,29,25,24,18
"10082440",5,5,8,6,5,8
"10096928",18,15,21,21,26,22
"10109279",0,0,0,4,7,8
"10109692",9,4,4,0,0,2
"10132141",10,9,0,0,0,0
"10160576",4,0,0,0,0,0
"10185112",20,21,10,0,0,0
"10222240",6,2,1,2,5,1
"10233795",4,3,2,10,11,19
"10235090",4,4,1,10,9,8
"10235503",10,5,0,0,0,0
"10252913",4,2,6,4,5,4
"10277170",0,0,0,6,11,10
"10284081",3,1,2,4,3,5
"10296556",2,3,0,8,5,6
"10296910",0,0,0,3,4,5
"10313586",9,8,4,5,0,4
"10318877",8,3,8,0,2,3
"10322878",38,23,27,53,47,51
"10323127",5,4,7,7,4,9
"10323374",33,23,16,3,3,3
"10323684",7,9,8,7,13,7
"10323867",35,29,28,39,37,47
"10323932",4,3,0,7,11,9
"10324780",0,0,0,5,0,4
"10324837",1,7,2,4,6,4
"10325061",8,6,0,6,10,8
"10325180",5,8,0,10,6,5
"10333534",7,4,1,6,5,3
"10338470",5,4,0,44,25,31
"10339168",209,225,181,362,347,330
"10365075",5,1,0,9,0,5
"10365827",4,4,1,4,0,4
"10375436",6,7,7,2,0,2
"10377502",8,6,9,10,11,8
"10380653",1,7,4,6,6,10
"10386191",4,6,2,2,5,4
"10418709",7,7,5,13,15,14
"10423526",11,8,5,33,19,31
"10438617",0,0,0,3,4,5
"10439591",4,6,1,15,8,13
"10446165",22,10,15,22,26,19
"10448361",3,6,0,6,6,7
"10464415",5,1,4,0,2,2
"10480088",0,2,0,3,4,5
"10481027",0,0,0,0,0,0
"10511979",6,6,3,18,11,17
"10515859",23,25,20,22,17,15
"10517020",6,5,4,0,0,0
"10517682",2,0,0,7,8,9
"10520505",2,3,5,8,6,8
"10521413",7,0,7,3,3,3
"10522610",32,27,26,16,12,20
"10522864",0,0,0,20,17,20
"10523573",31,31,24,15,17,15
"10523776",50,53,13,341,344,347
"10530122",0,0,2,8,10,10
"10531013",2,2,0,9,5,7
"10531299",2,1,2,4,4,4
"10565150",0,0,0,3,4,5
"10591432",0,0,0,3,4,5
"10593880",4,5,4,2,3,4
"10594358",4,4,3,5,5,4
"10621866",0,5,7,0,0,0
"10630096",2,3,0,8,5,6
"10631067",6,2,1,11,0,11
"10631315",0,0,0,3,3,4
"10632090",0,4,4,0,0,0
"10633605",9,17,4,0,0,0
"10657141",5,4,5,0,0,0
"10658225",5,7,9,2,2,0
"10659301",4,4,4,11,9,9
"10686622",7,3,0,8,7,8
"10687793",2,1,2,4,4,4
"10687913",6,6,6,4,4,4
"10689069",2,0,0,18,24,20
"10689110",34,32,33,52,55,49
"10695325",31,18,34,38,37,33
"10697047",2,1,3,0,0,0
"10699458",4,4,4,5,4,4
"10699808",0,6,0,4,0,6
"10700171",0,0,0,3,4,5
"10711259",17,23,1,2,9,22
"10712375",4,4,6,5,4,8
"10714925",19,9,14,16,17,17
"10731154",4,7,9,4,9,0
"10732995",4,2,6,4,5,4
"10738405",4,4,5,8,6,6
"10739053",17,23,16,23,12,18
"10739329",0,0,7,6,3,0
"10739365",41,21,35,43,42,50
"10739366",17,13,11,13,7,10
"10739610",9,8,0,8,7,5
"10741754",0,0,0,3,4,5
"10741957",8,13,17,26,24,23
"10757891",8,9,8,22,23,16
"10759453",0,0,0,5,4,4
"10774345",8,6,9,9,8,8
"10791111",9,16,12,12,11,9
"10795597",15,10,17,6,6,7
"10795833",0,0,0,6,8,5
"10796453",11,17,18,1,6,4
"10796540",10,4,6,0,4,0
"10800159",26,15,28,27,21,19
"10803003",24,19,23,20,20,20
"10803750",2,2,0,10,6,7
"10804377",30,28,24,28,21,24
"10810500",0,0,0,3,4,5
"10815303",2,3,5,15,13,12
"10815512",2,1,2,4,6,6
"10815549",8,11,6,22,24,20
"10848066",83,73,61,120,138,133
"10866476",7,7,5,15,14,15
"10866556",5,0,6,1,0,1
"10868294",7,4,5,10,6,7
"10884979",0,0,0,3,4,5
"10898197",6,11,0,17,14,20
"10899544",4,6,1,15,8,13
"10899788",0,0,0,3,4,5
"10920382",10,13,8,0,0,2
"10924847",7,22,15,0,0,0
"10931967",2,2,8,4,5,1
"10932283",0,0,0,3,4,5
"10941645",0,0,0,3,4,5
"10966414",3,2,0,5,7,12
"10972528",2,2,0,12,5,7
"10976156",0,0,0,3,4,5
"10986930",25,11,16,21,37,35
"10987131",4,4,5,3,3,4
"10988069",5,5,3,5,5,6
"10988201",0,0,0,3,4,5
"11005782",6,7,3,16,10,14
"11017025",21,13,21,16,12,13
"11047086",5,4,4,3,2,2
"11049799",4,5,0,1,2,1
"11072872",3,5,0,8,5,6
"11074403",6,6,2,9,8,11
"11103382",0,0,0,3,4,5
"11105215",6,7,7,4,5,4
"11140111",4,10,9,0,0,0
"11145317",0,0,0,0,0,0
"11147909",19,17,6,0,0,0
"11171622",5,4,5,0,0,0
"11177560",16,11,0,123,43,119
"11179958",0,0,0,0,0,0
"11198347",0,0,0,0,0,0
"11305917",3,0,5,28,21,29
"11312515",2,4,6,0,0,0
"11312979",0,0,0,10,8,10
"11314340",0,0,0,4,4,5
